,Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,BTC_Market_Cap,Holiday,Weekend,wd_1,wd_2,wd_3,wd_4,wd_5,wd_6,wd_7,season_1,season_2,season_3,season_4,N_tran,Diff,Block_Size,Mi_rev,Cost_tran
624,2017-03-25,936.54,975.76,903.71,972.78,435803008.0,15794781102,0,1,0,0,0,0,0,1,0,0,1,0,0,289521.0,475705205061.0,0.8699375340909999,2189770.8,7.86606222003
625,2017-03-24,1038.45,1040.47,934.36,937.52,491038016.0,15220718764,0,0,0,0,0,0,1,0,0,0,1,0,0,287871.0,475705205061.0,0.965088912162,2076531.0,7.4861469639800005
626,2017-03-23,1050.05,1058.01,1028.93,1038.59,248540000.0,16859314109,0,0,0,0,0,1,0,0,0,0,1,0,0,320713.0,475705205061.0,0.9823028385089999,2248010.7,7.258529606230001
627,2017-03-22,1120.65,1120.65,1014.21,1049.14,380840992.0,17028630158,0,0,0,0,1,0,0,0,0,0,1,0,0,288055.0,475705205061.0,0.9820038450700002,2188622.5,7.86468274744
628,2017-03-21,1055.36,1122.43,1055.36,1120.54,337391008.0,18185299687,0,0,0,1,0,0,0,0,0,0,1,0,0,277033.0,475705205061.0,0.977387352941,1948540.0,7.301247533580001
629,2017-03-20,1037.24,1063.03,1036.68,1054.23,286529984.0,17107266418,0,0,1,0,0,0,0,0,0,0,1,0,0,271239.0,475705205061.0,0.889713331325,2267078.8,8.64633832547
630,2017-03-19,976.73,1069.91,976.73,1036.74,406648000.0,16821676707,0,1,0,0,0,0,0,0,1,0,1,0,0,263530.0,475705205061.0,0.9420463184710001,1983179.8,7.79754488891
631,2017-03-18,1099.69,1114.07,957.66,973.82,621302016.0,15798760668,0,1,0,0,0,0,0,1,0,0,1,0,0,292196.0,469886043903.0,0.995548701299,2279486.3,8.086693175139999
632,2017-03-17,1180.16,1180.16,1099.57,1100.23,706598976.0,17847435957,0,0,0,0,0,0,1,0,0,0,1,0,0,327034.0,460769358090.0001,0.988260130719,2470016.0,7.839233664169999
633,2017-03-16,1251.33,1257.98,1152.44,1187.81,638568000.0,19265847025,0,0,0,0,0,1,0,0,0,0,1,0,0,292434.0,460769358090.0001,0.983983570423,2446625.6,8.660321032110001
634,2017-03-15,1240.16,1251.61,1239.75,1249.61,297804992.0,20265831337,0,0,0,0,1,0,0,0,0,0,1,0,0,310395.0,460769358090.0001,0.9624493589740001,2657111.6,8.859680323500001
635,2017-03-14,1232.16,1244.81,1220.72,1240.0,245306000.0,20107761880,0,0,0,1,0,0,0,0,0,0,1,0,0,273079.0,460769358090.0001,0.982872310345,2417768.25,9.19165614074
636,2017-03-13,1221.78,1237.37,1217.03,1231.92,380276992.0,19974334865,0,0,1,0,0,0,0,0,0,0,1,0,0,221110.0,460769358090.0001,0.960146464516,2509817.7,11.7864706612
637,2017-03-12,1176.62,1226.98,1175.36,1221.38,227176000.0,19801195767,0,1,0,0,0,0,0,0,1,0,1,0,0,280681.0,460769358090.0001,0.997576389262,2359087.2,8.69179138885
638,2017-03-11,1116.32,1193.83,1116.32,1175.83,283320000.0,19060468862,0,1,0,0,0,0,0,1,0,0,1,0,0,308482.0,460769358090.0001,0.991821346154,2329338.9,7.830872005289999
639,2017-03-10,1189.36,1270.47,1077.25,1116.72,563795968.0,18100188612,0,0,0,0,0,0,1,0,0,0,1,0,0,303632.0,460769358090.0001,0.9917982162160001,2399093.4,8.190491891439999
640,2017-03-09,1150.35,1197.46,1141.23,1188.49,212283008.0,19261188310,0,0,0,0,0,1,0,0,0,0,1,0,0,297108.0,460769358090.0001,0.979427084507,2250201.3,7.83796320777
641,2017-03-08,1223.23,1232.16,1148.08,1150.0,332603008.0,18635275050,1,0,0,0,1,0,0,0,0,0,1,0,0,327902.0,460769358090.0001,0.974861771242,2609873.4,8.23388332704
642,2017-03-07,1273.21,1275.55,1204.8,1223.54,291256000.0,19824773912,0,0,0,1,0,0,0,0,0,0,1,0,0,287731.0,460769358090.0001,0.96553256338,2484820.8,8.94679555748
643,2017-03-06,1267.47,1276.0,1264.6,1272.83,153656992.0,20620991547,0,0,1,0,0,0,0,0,0,0,1,0,0,280739.0,460769358090.0001,0.983301312925,2524232.85,9.321257541749999
